日期|+|XBANK事件工单|+|机构号|+|机构|+|归属模块|+|工单状态|+|COUNT(*)
2016-06-03|+|Xbank事件工单|+|1819|+|深圳香蜜支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1821|+|深圳福民支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1827|+|深圳南海支行|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1831|+|深圳龙华支行|+|xBank3.0|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|1917|+|宁波路林市场支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|2103|+|天津大沽南路支行|+|代理业务平台|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|2106|+|天津海河支行|+|BPP系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|2106|+|天津海河支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|2300|+|泉州分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|2310|+|泉州安海支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|2310|+|泉州安海支行|+|新网银系统|+|已关闭|+|2
2016-06-03|+|Xbank事件工单|+|2315|+|泉州安溪支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|2501|+|绍兴嵊州支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|3002|+|郑州花园路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|3205|+|无锡锡山支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|3404|+|合肥双岗支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-03|+|Xbank事件工单|+|3412|+|合肥潜山路支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-03|+|Xbank事件工单|+|3501|+|南昌分行营业部|+|xBank2.0系统|+|已关闭|+|3
2016-06-03|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|4102|+|潍坊青州支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|4300|+|洛阳分行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|4301|+|洛阳分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|4602|+|中山古镇支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|5204|+|大同东信商贸城小微企业专营支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|5501|+|南宁分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|5503|+|南宁东盟区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|5508|+|南宁望州支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-03|+|Xbank事件工单|+|5604|+|莆田秀屿支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|6402|+|呼和浩特鄂尔多斯大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|7004|+|许昌许由路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|7402|+|吉林三亚路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|8904|+|东莞大朗支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|A701|+|上海自贸试验区分行营业部|+|6688网站|+|已关闭|+|1
2016-06-03|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-04|+|Xbank事件工单|+|0138|+|北京空港支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-04|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-04|+|Xbank事件工单|+|1017|+|石家庄平安南大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-04|+|Xbank事件工单|+|1614|+|济南济泺路支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-04|+|Xbank事件工单|+|1621|+|济南西市场支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-04|+|Xbank事件工单|+|3005|+|郑州商都路支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-04|+|Xbank事件工单|+|3502|+|南昌分行洪城支行|+|xBank2.0系统|+|已关闭|+|3
2016-06-04|+|Xbank事件工单|+|3704|+|常州金坛支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-04|+|Xbank事件工单|+|A002|+|拉萨经济技术开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-04|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-05|+|Xbank事件工单|+|0101|+|总行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-05|+|Xbank事件工单|+|0108|+|北京安定门支行|+|(null)|+|已关闭|+|1
2016-06-05|+|Xbank事件工单|+|0527|+|武汉汉口北支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-05|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-05|+|Xbank事件工单|+|1203|+|西安高新开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-05|+|Xbank事件工单|+|2701|+|青岛分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-05|+|Xbank事件工单|+|2807|+|温州江滨支行|+|xBank2.0系统|+|已关闭|+|2
2016-06-05|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|4
2016-06-06|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|8
2016-06-06|+|Xbank事件工单|+|0100|+|北京管理部|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0101|+|总行营业部|+|储蓄国债EBOND系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0128|+|北京奥运村支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0152|+|北京国奥支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0161|+|北京顺义新城支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0170|+|北京万丰路支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0180|+|北京南苑支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0201|+|上海分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0229|+|上海延中支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0237|+|上海滨江支行|+|(null)|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0267|+|上海大宁支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0324|+|广州滨江东支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0511|+|武汉光谷支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0515|+|武汉武昌支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|6
2016-06-06|+|Xbank事件工单|+|0717|+|杭州下沙支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0806|+|南京中央门支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|0811|+|南京河西支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|1010|+|石家庄翟营南大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|1102|+|重庆南坪支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|1107|+|重庆沙坪坝支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|1119|+|重庆九龙园区支行|+|xBank2.0系统|+|已关闭|+|1
2016-06-06|+|Xbank事件工单|+|1505|+|福州闽江支行|+|商业汇票系统|+|已关闭|+|1
