日期|+|XBANK事件工单|+|机构号|+|机构|+|归属模块|+|工单状态|+|COUNT(*)
2016-07-06|+|Xbank事件工单|+|0223|+|上海华山支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0224|+|上海西南支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0234|+|上海漕河泾支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0241|+|上海青浦支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|0303|+|广州环市支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|0304|+|广州东风支行|+|xBank2.0系统|+|已关闭|+|8
2016-07-06|+|Xbank事件工单|+|0313|+|广州天河支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0322|+|广州科技园支行|+|手机银行|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0323|+|广州珠江支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|0325|+|广州黄埔大道支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|0329|+|广州荔湾支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0337|+|广州一德路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0338|+|东莞虎门支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0340|+|广州石井支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|0376|+|佛山乐从支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|0403|+|国际结算|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0409|+|房地产资金监管|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0534|+|孝感支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0604|+|大连开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0607|+|大连胜利桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0608|+|大连星海支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0609|+|大连越秀支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|0624|+|大连马栏广场支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|0706|+|杭州余杭支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0802|+|南京凤凰西街支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|0811|+|南京河西支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0816|+|南京水西门大街支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|0819|+|南京建宁路支行|+|cbank系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0819|+|南京建宁路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0822|+|南京栖霞支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0900|+|太原分行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0910|+|太原漪汾支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|0916|+|太原小店支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|0928|+|太原新晋祠路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1001|+|石家庄分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1002|+|石家庄中山东路支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|1009|+|石家庄裕华东路支行|+|BPP系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1009|+|石家庄裕华东路支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|1010|+|石家庄翟营南大街支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|1012|+|石家庄建设北大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1012|+|石家庄建设北大街支行|+|(null)|+|问题处理|+|1
2016-07-06|+|Xbank事件工单|+|1020|+|石家庄体育南大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1026|+|正定支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1102|+|重庆南坪支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|1103|+|重庆高新支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1104|+|重庆江北支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1106|+|重庆杨家坪支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1112|+|重庆解放碑支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1115|+|重庆北部新区支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|1208|+|西安西大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1209|+|西安经济开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1210|+|西安电子城支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|1215|+|西安枫林绿洲支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1219|+|西安长安区支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1220|+|西安胡家庙小微企业专营支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1221|+|西安曲江支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1504|+|福州闽都支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1505|+|福州闽江支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1507|+|福州鼓楼支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|1510|+|福州温泉支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1516|+|福州闽侯支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1527|+|福州金山支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1615|+|济南章丘支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1616|+|济南张庄路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1620|+|济南领秀城支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1622|+|济南舜华北路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1705|+|汕头华山路支行|+|储蓄国债EBOND系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1708|+|汕头星湖支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|1807|+|深圳宝安支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|1818|+|深圳盐田支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1823|+|深圳五洲支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1824|+|深圳华强支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1825|+|深圳市民中心支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1827|+|深圳南海支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1829|+|深圳宝城支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1833|+|深圳沙井支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|1833|+|深圳沙井支行|+|新网银系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1834|+|深圳布吉支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1835|+|深圳坂田支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1837|+|深圳华强北支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|1839|+|深圳石岩支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1840|+|深圳桃园支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|1918|+|宁波嵩江路支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|2004|+|成都科华支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2006|+|成都东风支行|+|cbank系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2006|+|成都东风支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|2013|+|成都蜀汉支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2019|+|成都光华支行|+|cbank系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2019|+|成都光华支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|2023|+|崇州支行|+|cbank系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2023|+|崇州支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|2027|+|成都荷花池支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2101|+|天津围堤道支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|2116|+|天津华苑支行|+|(null)|+|分析中|+|1
2016-07-06|+|Xbank事件工单|+|2122|+|天津自由贸易试验区分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2208|+|昆明滇池路支行|+|xBank2.0系统|+|已关闭|+|4
2016-07-06|+|Xbank事件工单|+|2302|+|泉州水头支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2303|+|泉州清濛支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2306|+|泉州晋江支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|2307|+|泉州南安支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2312|+|泉州石狮灵秀支行|+|cbank系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2312|+|泉州石狮灵秀支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2313|+|泉州陈埭支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2315|+|泉州安溪支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2601|+|苏州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2608|+|苏州分行太仓支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2702|+|青岛香港东路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2709|+|青岛长江中路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2712|+|青岛黄岛支行|+|xBank2.0系统|+|已关闭|+|4
2016-07-06|+|Xbank事件工单|+|2720|+|青岛胶州李哥庄支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2801|+|温州分行营业部|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|2801|+|温州分行营业部|+|新二代支付系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2809|+|温州平阳支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|2910|+|厦门海沧支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3011|+|郑州陇海路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3103|+|长沙人民路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3104|+|长沙星沙支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3105|+|长沙高桥支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|3201|+|无锡分行营业部|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|3207|+|无锡南长支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|3300|+|长春分行|+|新网银系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3302|+|长春一汽支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3311|+|长春东岭支行|+|cbank系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3401|+|合肥分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3403|+|合肥白马支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3404|+|合肥双岗支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|3405|+|合肥经开区支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|3502|+|南昌分行洪城支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3506|+|南昌红谷滩支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|3510|+|南昌北京东路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3602|+|邯郸分行武安支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3605|+|邯郸联纺路支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|3608|+|邯郸世纪大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|3702|+|常州武进支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|4003|+|沧州分行黄骅支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|4005|+|互联网行为审计|+|xBank2.0系统|+|已关闭|+|5
2016-07-06|+|Xbank事件工单|+|4009|+|金融代理|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|4101|+|潍坊分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|4402|+|衡阳雁峰支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|4602|+|中山古镇支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|4603|+|中山三乡支行|+|xBank2.0系统|+|已关闭|+|4
2016-07-06|+|Xbank事件工单|+|4703|+|南阳人民路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|4803|+|衡水景县支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|4805|+|衡水永兴路支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|4806|+|冀州支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|5001|+|襄阳营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|5101|+|秦皇岛分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|5104|+|秦皇岛建设大街支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|5303|+|唐山遵化支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|5306|+|迁安支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|5601|+|莆田分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|6503|+|沈阳建设路支行|+|xBank2.0系统|+|已关闭|+|4
2016-07-06|+|Xbank事件工单|+|6703|+|珠海人民路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|7903|+|临沂商城支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|7905|+|临沂临沭支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|7908|+|临沂兰陵支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|8001|+|徐州分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|8101|+|赣州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|8101|+|赣州分行营业部|+|手机银行|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|8201|+|威海分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|8301|+|济宁分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|8601|+|金华分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|8902|+|东莞厚街支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|8904|+|东莞大朗支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|8905|+|东莞塘厦支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-06|+|Xbank事件工单|+|A002|+|拉萨经济技术开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-06|+|Xbank事件工单|+|A805|+|兰州东岗支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|B301|+|宜宾分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-07-06|+|Xbank事件工单|+|B701|+|惠州分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0000|+|总行团队|+|xBank2.0系统|+|已关闭|+|13
2016-07-07|+|Xbank事件工单|+|0000|+|总行团队|+|客户资产监管系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0101|+|北京木樨地支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0119|+|北京方庄支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0141|+|北京京广支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0150|+|北京总部基地支行|+|PE系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0150|+|北京总部基地支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0154|+|北京亦庄支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0158|+|北京光华支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0162|+|北京陶然桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0164|+|北京房山支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0180|+|北京南苑支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|01DH|+|北京右北大街社区支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0217|+|上海外高桥支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0230|+|上海东方支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0309|+|广州白云支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0314|+|广州番禺支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0319|+|广州羊城支行|+|cbank系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0319|+|广州羊城支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-07|+|Xbank事件工单|+|0320|+|广州珠江纺织城支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0325|+|广州黄埔大道支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0327|+|广州天河北支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-07|+|Xbank事件工单|+|0331|+|佛山分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0335|+|广州轻纺城支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0338|+|东莞虎门支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-07|+|Xbank事件工单|+|0341|+|广州站前路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0376|+|佛山乐从支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0501|+|武汉江岸支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0504|+|武汉三阳支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0510|+|武汉水果湖支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0524|+|武汉滨江支行|+|开放式基金代销系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0528|+|武汉光谷高科技支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0611|+|大连新华支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0613|+|大连华南广场支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0626|+|大连西安路支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0700|+|杭州分行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0727|+|杭州庆春支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|0803|+|南京上海路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0825|+|南京汇景西路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0826|+|南京溧水支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0913|+|太原分行新建北路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0914|+|太原千峰南路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|0916|+|太原小店支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|1001|+|石家庄分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1003|+|石家庄维明大街支行|+|安保客户安全平台|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1009|+|石家庄裕华东路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1010|+|石家庄翟营南大街支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|1011|+|石家庄广安大街支行|+|开放式基金代销系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1100|+|重庆分行|+|PBSS系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1106|+|重庆杨家坪支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|1203|+|西安高新开发区支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1213|+|西安东关正街支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1502|+|福州分行营业部|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1503|+|福州东街支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1514|+|福州三坊七巷支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1514|+|福州三坊七巷支行|+|代收付系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1607|+|济南高新支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|1607|+|济南高新支行|+|安保客户安全平台|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1620|+|济南领秀城支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1703|+|汕头荣兴支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|1801|+|深圳分行营业部|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|1809|+|深圳南山支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1810|+|深圳深南支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1814|+|深圳黄金珠宝支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1816|+|深圳东门支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1820|+|深圳高新区支行|+|cbank系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1833|+|深圳沙井支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1902|+|宁波北仑支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1905|+|宁波解放南路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|1911|+|宁波海曙支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|2020|+|成都新都支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|2022|+|成都金沙支行|+|cbank系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|2022|+|成都金沙支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-07|+|Xbank事件工单|+|2101|+|天津围堤道支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|2103|+|天津大沽南路支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|2116|+|天津华苑支行|+|xBank2.0系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|2302|+|泉州水头支行|+|cbank系统|+|已关闭|+|1
2016-07-07|+|Xbank事件工单|+|2302|+|泉州水头支行|+|xBank2.0系统|+|已关闭|+|3
2016-07-07|+|Xbank事件工单|+|2308|+|泉州石狮支行|+|xBank2.0系统|+|已关闭|+|2
2016-07-07|+|Xbank事件工单|+|2311|+|泉州晋南支行|+|xBank2.0系统|+|已关闭|+|1
