日期|+|变更类型|+|应用系统|+|工单状态|+|COUNT(*)
2016-06-14|+|紧急变更|+|统一商户管理平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|零售及小微决策分析系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-07|+|常规变更|+|(null)|+|变更初审|+|1
2016-06-20|+|常规变更|+|资产证券化系统|+|草稿|+|2
2016-06-27|+|常规变更|+|基础公共硬件服务|+|任务实施|+|2
2016-06-20|+|常规变更|+|NBU备份系统|+|任务实施|+|1
2016-06-21|+|紧急变更|+|商业汇票系统|+|变更审批|+|1
2016-06-28|+|常规变更|+|村镇银行数据平台|+|已关闭|+|1
2016-06-21|+|常规变更|+|PE系统|+|已关闭|+|1
2016-06-22|+|紧急变更|+|VP自助语音系统|+|变更审批|+|1
2016-06-12|+|常规变更|+|新管会报表应用|+|已关闭|+|2
2016-06-15|+|常规变更|+|信息管理中心星环大数据分析云平台系统|+|任务实施|+|1
2016-06-08|+|常规变更|+|OA系统|+|任务分解|+|1
2016-06-13|+|常规变更|+|金卡系统|+|待归档|+|1
2016-06-14|+|紧急变更|+|NPS系统|+|待归档|+|1
2016-06-14|+|常规变更|+|保理系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|文件服务器系统|+|已关闭|+|1
2016-06-22|+|常规变更|+|办公网络IMC平台|+|任务实施|+|4
2016-06-20|+|常规变更|+|vmware虚拟化平台|+|已关闭|+|2
2016-06-27|+|常规变更|+|PE系统|+|待归档|+|2
2016-07-04|+|常规变更|+|新风控系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|ATM系统|+|已作废|+|1
2016-06-06|+|常规变更|+|BPP系统|+|已关闭|+|1
2016-06-06|+|常规变更|+|村镇银行征信系统|+|待归档|+|1
2016-06-17|+|紧急变更|+|第三方支付系统|+|任务分解|+|1
2016-06-13|+|常规变更|+|资产证券化系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|亚盟网站|+|待归档|+|1
2016-07-05|+|常规变更|+|对公贷款系统|+|变更审批|+|1
2016-06-06|+|常规变更|+|海外核心系统|+|已关闭|+|1
2016-06-16|+|常规变更|+|储蓄国债EBOND系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|网络交易平台资金托管系统|+|已关闭|+|1
2016-06-21|+|常规变更|+|计费系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|销售作业系统|+|已关闭|+|1
2016-06-26|+|常规变更|+|信息中心SAS系统|+|已关闭|+|2
2016-06-13|+|常规变更|+|人民银行反洗钱系统|+|已关闭|+|1
2016-06-24|+|常规变更|+|(null)|+|变更初审|+|1
2016-07-01|+|常规变更|+|零售及小微决策分析系统|+|任务实施|+|1
2016-06-29|+|常规变更|+|帆软报表平台|+|任务分解|+|1
2016-06-30|+|常规变更|+|CITRIX平台系统|+|任务实施|+|1
2016-06-30|+|常规变更|+|新短信平台|+|任务实施|+|1
2016-06-06|+|常规变更|+|资产托管投资监督系统|+|待归档|+|1
2016-06-08|+|常规变更|+|第三方支付系统|+|已关闭|+|1
2016-06-17|+|常规变更|+|移动金融服务平台|+|已关闭|+|1
2016-06-14|+|常规变更|+|数据中心网络系统|+|任务实施|+|1
2016-06-13|+|常规变更|+|CPS系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|手机银行|+|已关闭|+|1
2016-06-27|+|常规变更|+|CPS系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|数据中心网络系统|+|已作废|+|1
2016-06-24|+|常规变更|+|村镇银行EUSP系统|+|已关闭|+|1
2016-07-01|+|常规变更|+|数据中心网络系统|+|已关闭|+|1
