2016-09-22|+|常规修改|+|保理系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-26|+|常规修改|+|新网银系统|+|交易数据维护|+|开发中心处理|+|历史数据问题|+|1
2016-09-28|+|常规修改|+|直销银行系统|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-09-07|+|常规修改|+|BPM系统|+|交易数据维护|+|已作废|+|历史数据问题|+|1
2016-09-19|+|紧急修改|+|PBSS系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-09-14|+|常规修改|+|FDM系统|+|交易数据维护|+|草稿|+|程序缺陷|+|1
2016-09-08|+|常规修改|+|代理业务平台|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-30|+|常规修改|+|ATM系统|+|交易数据维护|+|开发中心处理|+|程序缺陷|+|1
2016-09-01|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|3
2016-09-22|+|常规修改|+|新网银系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-09-29|+|紧急修改|+|第三方支付系统|+|配置参数维护|+|开发中心处理|+|程序缺陷|+|1
2016-09-19|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|2
2016-09-30|+|常规修改|+|总行国库信息处理系统|+|交易数据维护|+|开发中心处理|+|新增业务需求|+|1
2016-09-13|+|常规修改|+|对公贷款系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-19|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|2
2016-09-05|+|紧急修改|+|小微授信评审系统|+|交易数据维护|+|开发中心处理|+|历史数据问题|+|1
2016-09-02|+|常规修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|2
2016-09-07|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|1
2016-09-08|+|常规修改|+|汇兑通资金管理系统|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|汇兑通资金管理系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-09-22|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-06|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|1
2016-09-23|+|常规修改|+|总行国库信息处理系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-09-14|+|紧急修改|+|ATM系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-05|+|常规修改|+|新网银系统|+|交易数据维护|+|业务审批确认|+|(null)|+|1
2016-09-06|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|2
2016-09-26|+|紧急修改|+|新网银系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|资产证券化系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-28|+|紧急修改|+|第三方支付系统|+|交易数据维护|+|开发中心处理|+|程序缺陷|+|2
2016-09-01|+|紧急修改|+|保理系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-30|+|紧急修改|+|统一报表平台|+|交易数据维护|+|运维中心审批|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|总行自助设备非现金系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-09-19|+|常规修改|+|老EUSP系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-09-13|+|常规修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-30|+|常规修改|+|网络交易平台资金托管系统|+|交易数据维护|+|组织审批|+|历史数据问题|+|2
2016-09-26|+|常规修改|+|ATM系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-22|+|常规修改|+|(null)|+|配置参数维护|+|已关闭|+|新增业务需求|+|1
2016-09-09|+|常规修改|+|房地产资金监管系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-09-06|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-09-09|+|常规修改|+|运营管控系统|+|交易数据维护|+|开发中心处理|+|历史数据问题|+|1
